case	typed_history	http_200	requests	elapsed_s	client_generated_tok_s	server_generated_tok_s	server_generated_tok_s_decode	server_continuation_tok_s	server_continuation_tok_s_decode	coalesced_batch_size	generated_tokens_meta	cache_hits	cache_misses	typed_gate_meta	typed_skip_current_load_meta	typed_raw_lines	typed_compressed_lines	typed_indexer_lines	typed_history_lines	history_loaded_attn_rows_2	history_loaded_indexer_rows_2	history_reloaded_attn_rows_nonzero	history_reloaded_indexer_rows_nonzero	typed_current_load_0	typed_current_load_1
control	False	32	32	2.4598493576049805	104.07141364512381	316.297621	735.600737	317.040251	736.223733	32	256	0	32	0	0	0	0	0	0	0	0	0	0	0	0
typed-history	True	32	32	14.60840654373169	17.524156329688598	74.383163	86.322558	73.851764	85.630197	32	256	0	32	1	1	942	105	105	898	84	84	105	105	1152	0
