semantic_tensor_id	source_name	source_dtype	source_shape	runtime_layout	owning_gpu	layer_id	kernel_family	source_offset	byte_length	shard_file	shard_offset	scale_offset	checksum
token_embd.weight	token_embd.weight	bf16	[4096x129280]	source_bf16	0	-1	ds4_embedding_bf16	5325056	1059061760	gpu0.weights	0	-1	pending
blk.0.attn_sinks	blk.0.attn_sinks	f32	[64]	source_f32_control	0	0	ds4_attention_control	1064386816	256	gpu0.weights	1059061760	-1	pending
blk.0.attn_kv_a_norm.weight	blk.0.attn_kv_a_norm.weight	f32	[512]	source_f32_control	0	0	ds4_attention_control	1064387072	2048	gpu0.weights	1059062016	-1	pending
blk.0.attn_q_a_norm.weight	blk.0.attn_q_a_norm.weight	f32	[1024]	source_f32_control	0	0	ds4_attention_control	1064389120	4096	gpu0.weights	1059064064	-1	pending
blk.0.attn_kv_latent.weight	blk.0.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	source_f8_e4m3_b128_blocked	0	0	v100_fp8_dequant_f16_hmma_pending	1064393216	2113536	gpu0.weights	1059068160	-1	pending
blk.0.attn_output_a.weight	blk.0.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	source_f8_e4m3_b128_blocked	0	0	v100_fp8_dequant_f16_hmma_pending	1066506752	33816576	gpu0.weights	1061181696	-1	pending
blk.0.attn_output_b.weight	blk.0.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	source_f8_e4m3_b128_blocked	0	0	v100_fp8_dequant_f16_hmma_pending	1100323328	33816576	gpu0.weights	1094998272	-1	pending
blk.0.attn_q_a.weight	blk.0.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	source_f8_e4m3_b128_blocked	0	0	v100_fp8_dequant_f16_hmma_pending	1134139904	4227072	gpu0.weights	1128814848	-1	pending
blk.0.attn_q_b.weight	blk.0.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	source_f8_e4m3_b128_blocked	0	0	v100_fp8_dequant_f16_hmma_pending	1138366976	33816576	gpu0.weights	1133041920	-1	pending
blk.0.attn_norm.weight	blk.0.attn_norm.weight	f32	[4096]	source_f32_control	0	0	ds4_attention_control	1172183552	16384	gpu0.weights	1166858496	-1	pending
blk.0.ffn_down_exps.weight	blk.0.ffn_down_exps.weight	mxfp4	[2048x4096x256]	source_mxfp4_grouped	0	0	v100_grouped_mxfp4_pending	1172199936	1140850688	gpu0.weights	1166874880	-1	pending
blk.0.ffn_gate_exps.weight	blk.0.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	0	v100_grouped_mxfp4_pending	2313050624	1140850688	gpu0.weights	2307725568	-1	pending
blk.0.ffn_up_exps.weight	blk.0.ffn_up_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	0	v100_grouped_mxfp4_pending	3453901312	1140850688	gpu0.weights	3448576256	-1	pending
blk.0.ffn_gate_tid2eid	blk.0.ffn_gate_tid2eid	i32	[6x129280]	source_i32	0	0	ds4_router_f32_i32	4594752000	3102720	gpu0.weights	4589426944	-1	pending
blk.0.ffn_gate_inp.weight	blk.0.ffn_gate_inp.weight	f32	[4096x256]	source_f32	0	0	ds4_router_f32_i32	4597854720	4194304	gpu0.weights	4592529664	-1	pending
blk.0.ffn_gate_shexp.weight	blk.0.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	0	v100_shared_fp8_dense_pending	4602049024	8454144	gpu0.weights	4596723968	-1	pending
blk.0.ffn_down_shexp.weight	blk.0.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	source_f8_e4m3_b128_blocked	0	0	v100_shared_fp8_dense_pending	4610503168	8454144	gpu0.weights	4605178112	-1	pending
blk.0.ffn_up_shexp.weight	blk.0.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	0	v100_shared_fp8_dense_pending	4618957312	8454144	gpu0.weights	4613632256	-1	pending
blk.0.ffn_norm.weight	blk.0.ffn_norm.weight	f32	[4096]	source_f32	0	0	ds4_control_f32	4627411456	16384	gpu0.weights	4622086400	-1	pending
blk.0.hc_attn_base	blk.0.hc_attn_base	f32	[24]	source_f32	0	0	ds4_hc_control_f32	4627427840	96	gpu0.weights	4622102784	-1	pending
blk.0.hc_attn_fn	blk.0.hc_attn_fn	f32	[16384x24]	source_f32	0	0	ds4_hc_control_f32	4627427936	1572864	gpu0.weights	4622103040	-1	pending
blk.0.hc_attn_scale	blk.0.hc_attn_scale	f32	[3]	source_f32	0	0	ds4_hc_control_f32	4629000800	12	gpu0.weights	4623675904	-1	pending
blk.0.hc_ffn_base	blk.0.hc_ffn_base	f32	[24]	source_f32	0	0	ds4_hc_control_f32	4629000832	96	gpu0.weights	4623676160	-1	pending
blk.0.hc_ffn_fn	blk.0.hc_ffn_fn	f32	[16384x24]	source_f32	0	0	ds4_hc_control_f32	4629000928	1572864	gpu0.weights	4623676416	-1	pending
blk.0.hc_ffn_scale	blk.0.hc_ffn_scale	f32	[3]	source_f32	0	0	ds4_hc_control_f32	4630573792	12	gpu0.weights	4625249280	-1	pending
