semantic_tensor_id	source_name	source_dtype	source_shape	runtime_layout	owning_gpu	layer_id	kernel_family	source_offset	byte_length	shard_file	shard_offset	scale_offset	checksum
blk.1.attn_sinks	blk.1.attn_sinks	f32	[64]	source_f32_control	0	1	ds4_attention_control	4630573824	256	gpu0.weights	4625249536	-1	pending
blk.1.attn_kv_a_norm.weight	blk.1.attn_kv_a_norm.weight	f32	[512]	source_f32_control	0	1	ds4_attention_control	4630574080	2048	gpu0.weights	4625249792	-1	pending
blk.1.attn_q_a_norm.weight	blk.1.attn_q_a_norm.weight	f32	[1024]	source_f32_control	0	1	ds4_attention_control	4630576128	4096	gpu0.weights	4625251840	-1	pending
blk.1.attn_kv_latent.weight	blk.1.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	source_f8_e4m3_b128_blocked	0	1	v100_fp8_dequant_f16_hmma_pending	4630580224	2113536	gpu0.weights	4625255936	-1	pending
blk.1.attn_output_a.weight	blk.1.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	source_f8_e4m3_b128_blocked	0	1	v100_fp8_dequant_f16_hmma_pending	4632693760	33816576	gpu0.weights	4627369472	-1	pending
blk.1.attn_output_b.weight	blk.1.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	source_f8_e4m3_b128_blocked	0	1	v100_fp8_dequant_f16_hmma_pending	4666510336	33816576	gpu0.weights	4661186048	-1	pending
blk.1.attn_q_a.weight	blk.1.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	source_f8_e4m3_b128_blocked	0	1	v100_fp8_dequant_f16_hmma_pending	4700326912	4227072	gpu0.weights	4695002624	-1	pending
blk.1.attn_q_b.weight	blk.1.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	source_f8_e4m3_b128_blocked	0	1	v100_fp8_dequant_f16_hmma_pending	4704553984	33816576	gpu0.weights	4699229696	-1	pending
blk.1.attn_norm.weight	blk.1.attn_norm.weight	f32	[4096]	source_f32_control	0	1	ds4_attention_control	4738370560	16384	gpu0.weights	4733046272	-1	pending
blk.1.ffn_down_exps.weight	blk.1.ffn_down_exps.weight	mxfp4	[2048x4096x256]	source_mxfp4_grouped	0	1	v100_grouped_mxfp4_pending	4738386944	1140850688	gpu0.weights	4733062656	-1	pending
blk.1.ffn_gate_exps.weight	blk.1.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	1	v100_grouped_mxfp4_pending	5879237632	1140850688	gpu0.weights	5873913344	-1	pending
blk.1.ffn_up_exps.weight	blk.1.ffn_up_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	1	v100_grouped_mxfp4_pending	7020088320	1140850688	gpu0.weights	7014764032	-1	pending
blk.1.ffn_gate_tid2eid	blk.1.ffn_gate_tid2eid	i32	[6x129280]	source_i32	0	1	ds4_router_f32_i32	8160939008	3102720	gpu0.weights	8155614720	-1	pending
blk.1.ffn_gate_inp.weight	blk.1.ffn_gate_inp.weight	f32	[4096x256]	source_f32	0	1	ds4_router_f32_i32	8164041728	4194304	gpu0.weights	8158717440	-1	pending
blk.1.ffn_gate_shexp.weight	blk.1.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	1	v100_shared_fp8_dense_pending	8168236032	8454144	gpu0.weights	8162911744	-1	pending
blk.1.ffn_down_shexp.weight	blk.1.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	source_f8_e4m3_b128_blocked	0	1	v100_shared_fp8_dense_pending	8176690176	8454144	gpu0.weights	8171365888	-1	pending
blk.1.ffn_up_shexp.weight	blk.1.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	1	v100_shared_fp8_dense_pending	8185144320	8454144	gpu0.weights	8179820032	-1	pending
blk.1.ffn_norm.weight	blk.1.ffn_norm.weight	f32	[4096]	source_f32	0	1	ds4_control_f32	8193598464	16384	gpu0.weights	8188274176	-1	pending
blk.1.hc_attn_base	blk.1.hc_attn_base	f32	[24]	source_f32	0	1	ds4_hc_control_f32	8193614848	96	gpu0.weights	8188290560	-1	pending
blk.1.hc_attn_fn	blk.1.hc_attn_fn	f32	[16384x24]	source_f32	0	1	ds4_hc_control_f32	8193614944	1572864	gpu0.weights	8188290816	-1	pending
blk.1.hc_attn_scale	blk.1.hc_attn_scale	f32	[3]	source_f32	0	1	ds4_hc_control_f32	8195187808	12	gpu0.weights	8189863680	-1	pending
blk.1.hc_ffn_base	blk.1.hc_ffn_base	f32	[24]	source_f32	0	1	ds4_hc_control_f32	8195187840	96	gpu0.weights	8189863936	-1	pending
blk.1.hc_ffn_fn	blk.1.hc_ffn_fn	f32	[16384x24]	source_f32	0	1	ds4_hc_control_f32	8195187936	1572864	gpu0.weights	8189864192	-1	pending
blk.1.hc_ffn_scale	blk.1.hc_ffn_scale	f32	[3]	source_f32	0	1	ds4_hc_control_f32	8196760800	12	gpu0.weights	8191437056	-1	pending
blk.2.attn_sinks	blk.2.attn_sinks	f32	[64]	source_f32_control	0	2	ds4_attention_control	8196760832	256	gpu0.weights	8191437312	-1	pending
blk.2.attn_compress_ape	blk.2.attn_compress_ape	f32	[1024x4]	source_f32	0	2	ds4_compressor_bf16_f32_pending	8196761088	16384	gpu0.weights	8191437568	-1	pending
blk.2.attn_compress_norm.weight	blk.2.attn_compress_norm.weight	f32	[512]	source_f32	0	2	ds4_compressor_bf16_f32_pending	8196777472	2048	gpu0.weights	8191453952	-1	pending
blk.2.attn_compress_gate.weight	blk.2.attn_compress_gate.weight	bf16	[4096x1024]	source_bf16	0	2	ds4_compressor_bf16_f32_pending	8196779520	8388608	gpu0.weights	8191456000	-1	pending
blk.2.attn_compress_kv.weight	blk.2.attn_compress_kv.weight	bf16	[4096x1024]	source_bf16	0	2	ds4_compressor_bf16_f32_pending	8205168128	8388608	gpu0.weights	8199844608	-1	pending
blk.2.indexer.compress_ape	blk.2.indexer.compress_ape	f32	[256x4]	source_f32	0	2	ds4_indexer_mixed_pending	8213556736	4096	gpu0.weights	8208233216	-1	pending
blk.2.indexer.compress_norm.weight	blk.2.indexer.compress_norm.weight	f32	[128]	source_f32	0	2	ds4_indexer_mixed_pending	8213560832	512	gpu0.weights	8208237312	-1	pending
blk.2.indexer.compress_gate.weight	blk.2.indexer.compress_gate.weight	bf16	[4096x256]	source_bf16	0	2	ds4_indexer_mixed_pending	8213561344	2097152	gpu0.weights	8208237824	-1	pending
blk.2.indexer.compress_kv.weight	blk.2.indexer.compress_kv.weight	bf16	[4096x256]	source_bf16	0	2	ds4_indexer_mixed_pending	8215658496	2097152	gpu0.weights	8210334976	-1	pending
blk.2.indexer.proj.weight	blk.2.indexer.proj.weight	bf16	[4096x64]	source_bf16	0	2	ds4_indexer_mixed_pending	8217755648	524288	gpu0.weights	8212432128	-1	pending
blk.2.indexer.attn_q_b.weight	blk.2.indexer.attn_q_b.weight	f8_e4m3_b128	[1024x8192]	source_f8_e4m3_b128_blocked	0	2	ds4_indexer_mixed_pending	8218279936	8454144	gpu0.weights	8212956416	-1	pending
blk.2.attn_kv_a_norm.weight	blk.2.attn_kv_a_norm.weight	f32	[512]	source_f32_control	0	2	ds4_attention_control	8226734080	2048	gpu0.weights	8221410560	-1	pending
blk.2.attn_q_a_norm.weight	blk.2.attn_q_a_norm.weight	f32	[1024]	source_f32_control	0	2	ds4_attention_control	8226736128	4096	gpu0.weights	8221412608	-1	pending
blk.2.attn_kv_latent.weight	blk.2.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	source_f8_e4m3_b128_blocked	0	2	v100_fp8_dequant_f16_hmma_pending	8226740224	2113536	gpu0.weights	8221416704	-1	pending
blk.2.attn_output_a.weight	blk.2.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	source_f8_e4m3_b128_blocked	0	2	v100_fp8_dequant_f16_hmma_pending	8228853760	33816576	gpu0.weights	8223530240	-1	pending
blk.2.attn_output_b.weight	blk.2.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	source_f8_e4m3_b128_blocked	0	2	v100_fp8_dequant_f16_hmma_pending	8262670336	33816576	gpu0.weights	8257346816	-1	pending
blk.2.attn_q_a.weight	blk.2.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	source_f8_e4m3_b128_blocked	0	2	v100_fp8_dequant_f16_hmma_pending	8296486912	4227072	gpu0.weights	8291163392	-1	pending
blk.2.attn_q_b.weight	blk.2.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	source_f8_e4m3_b128_blocked	0	2	v100_fp8_dequant_f16_hmma_pending	8300713984	33816576	gpu0.weights	8295390464	-1	pending
blk.2.attn_norm.weight	blk.2.attn_norm.weight	f32	[4096]	source_f32_control	0	2	ds4_attention_control	8334530560	16384	gpu0.weights	8329207040	-1	pending
blk.2.ffn_down_exps.weight	blk.2.ffn_down_exps.weight	mxfp4	[2048x4096x256]	source_mxfp4_grouped	0	2	v100_grouped_mxfp4_pending	8334546944	1140850688	gpu0.weights	8329223424	-1	pending
blk.2.ffn_gate_exps.weight	blk.2.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	2	v100_grouped_mxfp4_pending	9475397632	1140850688	gpu0.weights	9470074112	-1	pending
blk.2.ffn_up_exps.weight	blk.2.ffn_up_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	2	v100_grouped_mxfp4_pending	10616248320	1140850688	gpu0.weights	10610924800	-1	pending
blk.2.ffn_gate_tid2eid	blk.2.ffn_gate_tid2eid	i32	[6x129280]	source_i32	0	2	ds4_router_f32_i32	11757099008	3102720	gpu0.weights	11751775488	-1	pending
blk.2.ffn_gate_inp.weight	blk.2.ffn_gate_inp.weight	f32	[4096x256]	source_f32	0	2	ds4_router_f32_i32	11760201728	4194304	gpu0.weights	11754878208	-1	pending
blk.2.ffn_gate_shexp.weight	blk.2.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	2	v100_shared_fp8_dense_pending	11764396032	8454144	gpu0.weights	11759072512	-1	pending
blk.2.ffn_down_shexp.weight	blk.2.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	source_f8_e4m3_b128_blocked	0	2	v100_shared_fp8_dense_pending	11772850176	8454144	gpu0.weights	11767526656	-1	pending
blk.2.ffn_up_shexp.weight	blk.2.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	2	v100_shared_fp8_dense_pending	11781304320	8454144	gpu0.weights	11775980800	-1	pending
blk.2.ffn_norm.weight	blk.2.ffn_norm.weight	f32	[4096]	source_f32	0	2	ds4_control_f32	11789758464	16384	gpu0.weights	11784434944	-1	pending
blk.2.hc_attn_base	blk.2.hc_attn_base	f32	[24]	source_f32	0	2	ds4_hc_control_f32	11789774848	96	gpu0.weights	11784451328	-1	pending
blk.2.hc_attn_fn	blk.2.hc_attn_fn	f32	[16384x24]	source_f32	0	2	ds4_hc_control_f32	11789774944	1572864	gpu0.weights	11784451584	-1	pending
blk.2.hc_attn_scale	blk.2.hc_attn_scale	f32	[3]	source_f32	0	2	ds4_hc_control_f32	11791347808	12	gpu0.weights	11786024448	-1	pending
blk.2.hc_ffn_base	blk.2.hc_ffn_base	f32	[24]	source_f32	0	2	ds4_hc_control_f32	11791347840	96	gpu0.weights	11786024704	-1	pending
blk.2.hc_ffn_fn	blk.2.hc_ffn_fn	f32	[16384x24]	source_f32	0	2	ds4_hc_control_f32	11791347936	1572864	gpu0.weights	11786024960	-1	pending
blk.2.hc_ffn_scale	blk.2.hc_ffn_scale	f32	[3]	source_f32	0	2	ds4_hc_control_f32	11792920800	12	gpu0.weights	11787597824	-1	pending
blk.3.attn_sinks	blk.3.attn_sinks	f32	[64]	source_f32_control	0	3	ds4_attention_control	11792920832	256	gpu0.weights	11787598080	-1	pending
blk.3.attn_compress_ape	blk.3.attn_compress_ape	f32	[512x128]	source_f32	0	3	ds4_compressor_bf16_f32_pending	11792921088	262144	gpu0.weights	11787598336	-1	pending
blk.3.attn_compress_norm.weight	blk.3.attn_compress_norm.weight	f32	[512]	source_f32	0	3	ds4_compressor_bf16_f32_pending	11793183232	2048	gpu0.weights	11787860480	-1	pending
blk.3.attn_compress_gate.weight	blk.3.attn_compress_gate.weight	bf16	[4096x512]	source_bf16	0	3	ds4_compressor_bf16_f32_pending	11793185280	4194304	gpu0.weights	11787862528	-1	pending
blk.3.attn_compress_kv.weight	blk.3.attn_compress_kv.weight	bf16	[4096x512]	source_bf16	0	3	ds4_compressor_bf16_f32_pending	11797379584	4194304	gpu0.weights	11792056832	-1	pending
blk.3.attn_kv_a_norm.weight	blk.3.attn_kv_a_norm.weight	f32	[512]	source_f32_control	0	3	ds4_attention_control	11801573888	2048	gpu0.weights	11796251136	-1	pending
blk.3.attn_q_a_norm.weight	blk.3.attn_q_a_norm.weight	f32	[1024]	source_f32_control	0	3	ds4_attention_control	11801575936	4096	gpu0.weights	11796253184	-1	pending
blk.3.attn_kv_latent.weight	blk.3.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	source_f8_e4m3_b128_blocked	0	3	v100_fp8_dequant_f16_hmma_pending	11801580032	2113536	gpu0.weights	11796257280	-1	pending
blk.3.attn_output_a.weight	blk.3.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	source_f8_e4m3_b128_blocked	0	3	v100_fp8_dequant_f16_hmma_pending	11803693568	33816576	gpu0.weights	11798370816	-1	pending
blk.3.attn_output_b.weight	blk.3.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	source_f8_e4m3_b128_blocked	0	3	v100_fp8_dequant_f16_hmma_pending	11837510144	33816576	gpu0.weights	11832187392	-1	pending
blk.3.attn_q_a.weight	blk.3.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	source_f8_e4m3_b128_blocked	0	3	v100_fp8_dequant_f16_hmma_pending	11871326720	4227072	gpu0.weights	11866003968	-1	pending
blk.3.attn_q_b.weight	blk.3.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	source_f8_e4m3_b128_blocked	0	3	v100_fp8_dequant_f16_hmma_pending	11875553792	33816576	gpu0.weights	11870231040	-1	pending
blk.3.attn_norm.weight	blk.3.attn_norm.weight	f32	[4096]	source_f32_control	0	3	ds4_attention_control	11909370368	16384	gpu0.weights	11904047616	-1	pending
blk.3.ffn_down_exps.weight	blk.3.ffn_down_exps.weight	mxfp4	[2048x4096x256]	source_mxfp4_grouped	0	3	v100_grouped_mxfp4_pending	11909386752	1140850688	gpu0.weights	11904064000	-1	pending
blk.3.ffn_gate_exps.weight	blk.3.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	3	v100_grouped_mxfp4_pending	13050237440	1140850688	gpu0.weights	13044914688	-1	pending
blk.3.ffn_up_exps.weight	blk.3.ffn_up_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	3	v100_grouped_mxfp4_pending	14191088128	1140850688	gpu0.weights	14185765376	-1	pending
blk.3.exp_probs_b	blk.3.exp_probs_b	f32	[256]	source_f32	0	3	ds4_router_f32_i32	15331938816	1024	gpu0.weights	15326616064	-1	pending
blk.3.ffn_gate_inp.weight	blk.3.ffn_gate_inp.weight	f32	[4096x256]	source_f32	0	3	ds4_router_f32_i32	15331939840	4194304	gpu0.weights	15326617088	-1	pending
blk.3.ffn_gate_shexp.weight	blk.3.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	3	v100_shared_fp8_dense_pending	15336134144	8454144	gpu0.weights	15330811392	-1	pending
blk.3.ffn_down_shexp.weight	blk.3.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	source_f8_e4m3_b128_blocked	0	3	v100_shared_fp8_dense_pending	15344588288	8454144	gpu0.weights	15339265536	-1	pending
blk.3.ffn_up_shexp.weight	blk.3.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	3	v100_shared_fp8_dense_pending	15353042432	8454144	gpu0.weights	15347719680	-1	pending
blk.3.ffn_norm.weight	blk.3.ffn_norm.weight	f32	[4096]	source_f32	0	3	ds4_control_f32	15361496576	16384	gpu0.weights	15356173824	-1	pending
blk.3.hc_attn_base	blk.3.hc_attn_base	f32	[24]	source_f32	0	3	ds4_hc_control_f32	15361512960	96	gpu0.weights	15356190208	-1	pending
blk.3.hc_attn_fn	blk.3.hc_attn_fn	f32	[16384x24]	source_f32	0	3	ds4_hc_control_f32	15361513056	1572864	gpu0.weights	15356190464	-1	pending
blk.3.hc_attn_scale	blk.3.hc_attn_scale	f32	[3]	source_f32	0	3	ds4_hc_control_f32	15363085920	12	gpu0.weights	15357763328	-1	pending
blk.3.hc_ffn_base	blk.3.hc_ffn_base	f32	[24]	source_f32	0	3	ds4_hc_control_f32	15363085952	96	gpu0.weights	15357763584	-1	pending
blk.3.hc_ffn_fn	blk.3.hc_ffn_fn	f32	[16384x24]	source_f32	0	3	ds4_hc_control_f32	15363086048	1572864	gpu0.weights	15357763840	-1	pending
blk.3.hc_ffn_scale	blk.3.hc_ffn_scale	f32	[3]	source_f32	0	3	ds4_hc_control_f32	15364658912	12	gpu0.weights	15359336704	-1	pending
blk.4.attn_sinks	blk.4.attn_sinks	f32	[64]	source_f32_control	0	4	ds4_attention_control	15364658944	256	gpu0.weights	15359336960	-1	pending
blk.4.attn_compress_ape	blk.4.attn_compress_ape	f32	[1024x4]	source_f32	0	4	ds4_compressor_bf16_f32_pending	15364659200	16384	gpu0.weights	15359337216	-1	pending
blk.4.attn_compress_norm.weight	blk.4.attn_compress_norm.weight	f32	[512]	source_f32	0	4	ds4_compressor_bf16_f32_pending	15364675584	2048	gpu0.weights	15359353600	-1	pending
blk.4.attn_compress_gate.weight	blk.4.attn_compress_gate.weight	bf16	[4096x1024]	source_bf16	0	4	ds4_compressor_bf16_f32_pending	15364677632	8388608	gpu0.weights	15359355648	-1	pending
blk.4.attn_compress_kv.weight	blk.4.attn_compress_kv.weight	bf16	[4096x1024]	source_bf16	0	4	ds4_compressor_bf16_f32_pending	15373066240	8388608	gpu0.weights	15367744256	-1	pending
blk.4.indexer.compress_ape	blk.4.indexer.compress_ape	f32	[256x4]	source_f32	0	4	ds4_indexer_mixed_pending	15381454848	4096	gpu0.weights	15376132864	-1	pending
blk.4.indexer.compress_norm.weight	blk.4.indexer.compress_norm.weight	f32	[128]	source_f32	0	4	ds4_indexer_mixed_pending	15381458944	512	gpu0.weights	15376136960	-1	pending
blk.4.indexer.compress_gate.weight	blk.4.indexer.compress_gate.weight	bf16	[4096x256]	source_bf16	0	4	ds4_indexer_mixed_pending	15381459456	2097152	gpu0.weights	15376137472	-1	pending
blk.4.indexer.compress_kv.weight	blk.4.indexer.compress_kv.weight	bf16	[4096x256]	source_bf16	0	4	ds4_indexer_mixed_pending	15383556608	2097152	gpu0.weights	15378234624	-1	pending
blk.4.indexer.proj.weight	blk.4.indexer.proj.weight	bf16	[4096x64]	source_bf16	0	4	ds4_indexer_mixed_pending	15385653760	524288	gpu0.weights	15380331776	-1	pending
blk.4.indexer.attn_q_b.weight	blk.4.indexer.attn_q_b.weight	f8_e4m3_b128	[1024x8192]	source_f8_e4m3_b128_blocked	0	4	ds4_indexer_mixed_pending	15386178048	8454144	gpu0.weights	15380856064	-1	pending
blk.4.attn_kv_a_norm.weight	blk.4.attn_kv_a_norm.weight	f32	[512]	source_f32_control	0	4	ds4_attention_control	15394632192	2048	gpu0.weights	15389310208	-1	pending
blk.4.attn_q_a_norm.weight	blk.4.attn_q_a_norm.weight	f32	[1024]	source_f32_control	0	4	ds4_attention_control	15394634240	4096	gpu0.weights	15389312256	-1	pending
blk.4.attn_kv_latent.weight	blk.4.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	source_f8_e4m3_b128_blocked	0	4	v100_fp8_dequant_f16_hmma_pending	15394638336	2113536	gpu0.weights	15389316352	-1	pending
blk.4.attn_output_a.weight	blk.4.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	source_f8_e4m3_b128_blocked	0	4	v100_fp8_dequant_f16_hmma_pending	15396751872	33816576	gpu0.weights	15391429888	-1	pending
blk.4.attn_output_b.weight	blk.4.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	source_f8_e4m3_b128_blocked	0	4	v100_fp8_dequant_f16_hmma_pending	15430568448	33816576	gpu0.weights	15425246464	-1	pending
blk.4.attn_q_a.weight	blk.4.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	source_f8_e4m3_b128_blocked	0	4	v100_fp8_dequant_f16_hmma_pending	15464385024	4227072	gpu0.weights	15459063040	-1	pending
blk.4.attn_q_b.weight	blk.4.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	source_f8_e4m3_b128_blocked	0	4	v100_fp8_dequant_f16_hmma_pending	15468612096	33816576	gpu0.weights	15463290112	-1	pending
blk.4.attn_norm.weight	blk.4.attn_norm.weight	f32	[4096]	source_f32_control	0	4	ds4_attention_control	15502428672	16384	gpu0.weights	15497106688	-1	pending
blk.4.ffn_down_exps.weight	blk.4.ffn_down_exps.weight	mxfp4	[2048x4096x256]	source_mxfp4_grouped	0	4	v100_grouped_mxfp4_pending	15502445056	1140850688	gpu0.weights	15497123072	-1	pending
blk.4.ffn_gate_exps.weight	blk.4.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	4	v100_grouped_mxfp4_pending	16643295744	1140850688	gpu0.weights	16637973760	-1	pending
blk.4.ffn_up_exps.weight	blk.4.ffn_up_exps.weight	mxfp4	[4096x2048x256]	source_mxfp4_grouped	0	4	v100_grouped_mxfp4_pending	17784146432	1140850688	gpu0.weights	17778824448	-1	pending
blk.4.exp_probs_b	blk.4.exp_probs_b	f32	[256]	source_f32	0	4	ds4_router_f32_i32	18924997120	1024	gpu0.weights	18919675136	-1	pending
blk.4.ffn_gate_inp.weight	blk.4.ffn_gate_inp.weight	f32	[4096x256]	source_f32	0	4	ds4_router_f32_i32	18924998144	4194304	gpu0.weights	18919676160	-1	pending
blk.4.ffn_gate_shexp.weight	blk.4.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	source_f8_e4m3_b128_blocked	0	4	v100_shared_fp8_dense_pending	18929192448	8454144	gpu0.weights	18923870464	-1	pending
blk.4.ffn_down_shexp.weight	blk.4.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	source_f8_e4m3_b128_blocked	0	4	v100_shared_fp8_dense_pending	18937646592	8454144	gpu0.weights	18932324608	-1	pending
