name	layer	gpu	family	dims	elements	ggml_type_id	ggml_type	bytes
blk.24.ffn_up_shexp.weight	24	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.24.ffn_norm.weight	24	4	control	[4096]	4096	0	f32	16384
blk.24.hc_attn_base	24	4	hc	[24]	24	0	f32	96
blk.24.hc_attn_fn	24	4	hc	[16384x24]	393216	0	f32	1572864
blk.24.hc_attn_scale	24	4	hc	[3]	3	0	f32	12
blk.24.hc_ffn_base	24	4	hc	[24]	24	0	f32	96
blk.24.hc_ffn_fn	24	4	hc	[16384x24]	393216	0	f32	1572864
blk.24.hc_ffn_scale	24	4	hc	[3]	3	0	f32	12
blk.25.attn_sinks	25	4	attention	[64]	64	0	f32	256
blk.25.attn_compress_ape	25	4	compressor	[512x128]	65536	0	f32	262144
blk.25.attn_compress_norm.weight	25	4	compressor	[512]	512	0	f32	2048
blk.25.attn_compress_gate.weight	25	4	compressor	[4096x512]	2097152	30	bf16	4194304
blk.25.attn_compress_kv.weight	25	4	compressor	[4096x512]	2097152	30	bf16	4194304
blk.25.attn_kv_a_norm.weight	25	4	attention	[512]	512	0	f32	2048
blk.25.attn_q_a_norm.weight	25	4	attention	[1024]	1024	0	f32	4096
blk.25.attn_kv_latent.weight	25	4	attention	[4096x512]	2097152	42	f8_e4m3_b128	2113536
blk.25.attn_output_a.weight	25	4	attention	[4096x8192]	33554432	42	f8_e4m3_b128	33816576
blk.25.attn_output_b.weight	25	4	attention	[8192x4096]	33554432	42	f8_e4m3_b128	33816576
blk.25.attn_q_a.weight	25	4	attention	[4096x1024]	4194304	42	f8_e4m3_b128	4227072
blk.25.attn_q_b.weight	25	4	attention	[1024x32768]	33554432	42	f8_e4m3_b128	33816576
blk.25.attn_norm.weight	25	4	attention	[4096]	4096	0	f32	16384
blk.25.ffn_down_exps.weight	25	4	routed_expert	[2048x4096x256]	2147483648	39	mxfp4	1140850688
blk.25.ffn_gate_exps.weight	25	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.25.ffn_up_exps.weight	25	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.25.exp_probs_b	25	4	router	[256]	256	0	f32	1024
blk.25.ffn_gate_inp.weight	25	4	router	[4096x256]	1048576	0	f32	4194304
blk.25.ffn_gate_shexp.weight	25	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.25.ffn_down_shexp.weight	25	4	shared_expert	[2048x4096]	8388608	42	f8_e4m3_b128	8454144
blk.25.ffn_up_shexp.weight	25	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.25.ffn_norm.weight	25	4	control	[4096]	4096	0	f32	16384
blk.25.hc_attn_base	25	4	hc	[24]	24	0	f32	96
blk.25.hc_attn_fn	25	4	hc	[16384x24]	393216	0	f32	1572864
blk.25.hc_attn_scale	25	4	hc	[3]	3	0	f32	12
blk.25.hc_ffn_base	25	4	hc	[24]	24	0	f32	96
blk.25.hc_ffn_fn	25	4	hc	[16384x24]	393216	0	f32	1572864
blk.25.hc_ffn_scale	25	4	hc	[3]	3	0	f32	12
blk.26.attn_sinks	26	4	attention	[64]	64	0	f32	256
blk.26.attn_compress_ape	26	4	compressor	[1024x4]	4096	0	f32	16384
blk.26.attn_compress_norm.weight	26	4	compressor	[512]	512	0	f32	2048
