2026/05/22 19:52:03.475, 0, 0, 0
2026/05/22 19:52:03.475, 1, 0, 0
2026/05/22 19:52:03.475, 2, 0, 0
2026/05/22 19:52:03.476, 3, 0, 0
2026/05/22 19:52:03.476, 4, 0, 0
2026/05/22 19:52:03.476, 5, 0, 0
2026/05/22 19:52:03.476, 6, 0, 0
2026/05/22 19:52:03.477, 7, 0, 0
2026/05/22 19:52:04.191, 0, 0, 4
2026/05/22 19:52:04.195, 1, 0, 4
2026/05/22 19:52:04.196, 2, 0, 4
2026/05/22 19:52:04.196, 3, 1, 4
2026/05/22 19:52:04.196, 4, 0, 4
2026/05/22 19:52:04.196, 5, 0, 0
2026/05/22 19:52:04.197, 6, 0, 0
2026/05/22 19:52:04.201, 7, 0, 0
2026/05/22 19:52:05.548, 0, 0, 16
2026/05/22 19:52:05.552, 1, 0, 16
2026/05/22 19:52:05.557, 2, 0, 16
2026/05/22 19:52:05.560, 3, 0, 16
2026/05/22 19:52:05.562, 4, 0, 16
2026/05/22 19:52:05.570, 5, 0, 16
2026/05/22 19:52:05.572, 6, 0, 16
2026/05/22 19:52:05.577, 7, 0, 16
2026/05/22 19:52:06.277, 0, 0, 30
2026/05/22 19:52:06.277, 1, 0, 28
2026/05/22 19:52:06.278, 2, 0, 30
2026/05/22 19:52:06.278, 3, 0, 28
2026/05/22 19:52:06.278, 4, 0, 28
2026/05/22 19:52:06.278, 5, 0, 28
2026/05/22 19:52:06.279, 6, 0, 28
2026/05/22 19:52:06.279, 7, 0, 62
2026/05/22 19:52:06.881, 0, 2, 21794
2026/05/22 19:52:06.881, 1, 2, 20812
2026/05/22 19:52:06.881, 2, 2, 20812
2026/05/22 19:52:06.882, 3, 2, 20812
2026/05/22 19:52:06.882, 4, 2, 20812
2026/05/22 19:52:06.882, 5, 2, 17406
2026/05/22 19:52:06.882, 6, 2, 17386
2026/05/22 19:52:06.883, 7, 18, 11582
2026/05/22 19:52:07.510, 0, 5, 21794
2026/05/22 19:52:07.510, 1, 3, 20812
2026/05/22 19:52:07.511, 2, 3, 20812
2026/05/22 19:52:07.511, 3, 23, 20812
2026/05/22 19:52:07.511, 4, 20, 20812
2026/05/22 19:52:07.511, 5, 3, 17406
2026/05/22 19:52:07.512, 6, 3, 17386
2026/05/22 19:52:07.512, 7, 30, 11582
2026/05/22 19:52:08.104, 0, 2, 21794
2026/05/22 19:52:08.104, 1, 2, 20812
2026/05/22 19:52:08.105, 2, 2, 20812
2026/05/22 19:52:08.105, 3, 2, 20812
2026/05/22 19:52:08.106, 4, 7, 20812
2026/05/22 19:52:08.106, 5, 3, 17406
2026/05/22 19:52:08.107, 6, 3, 17386
2026/05/22 19:52:08.107, 7, 2, 11582
2026/05/22 19:52:08.699, 0, 2, 21794
2026/05/22 19:52:08.700, 1, 2, 20812
2026/05/22 19:52:08.700, 2, 2, 20812
2026/05/22 19:52:08.700, 3, 2, 20812
2026/05/22 19:52:08.701, 4, 24, 20812
2026/05/22 19:52:08.701, 5, 3, 17406
2026/05/22 19:52:08.701, 6, 2, 17386
2026/05/22 19:52:08.702, 7, 2, 11582
2026/05/22 19:52:09.324, 0, 2, 21794
2026/05/22 19:52:09.324, 1, 2, 20812
2026/05/22 19:52:09.325, 2, 2, 20812
2026/05/22 19:52:09.325, 3, 2, 20812
2026/05/22 19:52:09.325, 4, 17, 20812
2026/05/22 19:52:09.326, 5, 3, 17406
2026/05/22 19:52:09.326, 6, 2, 17386
2026/05/22 19:52:09.326, 7, 2, 11582
2026/05/22 19:52:09.944, 0, 2, 21794
2026/05/22 19:52:09.945, 1, 2, 20812
2026/05/22 19:52:09.945, 2, 3, 20812
2026/05/22 19:52:09.945, 3, 3, 20812
2026/05/22 19:52:09.946, 4, 3, 20812
2026/05/22 19:52:09.946, 5, 5, 17406
