2026/05/20 02:47:56.910, 0, 0, 0, 23596, 32768, 57.33
2026/05/20 02:47:56.912, 1, 0, 0, 20824, 32768, 56.38
2026/05/20 02:47:56.915, 2, 0, 0, 20824, 32768, 57.40
2026/05/20 02:47:56.917, 3, 0, 0, 20824, 32768, 59.79
2026/05/20 02:47:56.919, 4, 0, 0, 20824, 32768, 61.31
2026/05/20 02:47:56.921, 5, 0, 0, 17416, 32768, 61.31
2026/05/20 02:47:56.925, 6, 0, 0, 17396, 32768, 59.83
2026/05/20 02:47:56.928, 7, 0, 0, 11588, 32768, 59.75
2026/05/20 02:47:57.432, 0, 16, 1, 23598, 32768, 57.82
2026/05/20 02:47:57.434, 1, 0, 0, 20826, 32768, 56.38
2026/05/20 02:47:57.435, 2, 0, 0, 20826, 32768, 57.40
2026/05/20 02:47:57.436, 3, 0, 0, 20826, 32768, 59.79
2026/05/20 02:47:57.438, 4, 0, 0, 20826, 32768, 61.31
2026/05/20 02:47:57.440, 5, 0, 0, 17418, 32768, 61.31
2026/05/20 02:47:57.442, 6, 0, 0, 17398, 32768, 59.83
2026/05/20 02:47:57.444, 7, 0, 0, 11590, 32768, 59.75
2026/05/20 02:47:57.945, 0, 0, 0, 23598, 32768, 114.38
2026/05/20 02:47:57.948, 1, 0, 0, 22618, 32768, 56.30
2026/05/20 02:47:57.949, 2, 11, 1, 22618, 32768, 57.40
2026/05/20 02:47:57.951, 3, 11, 1, 22618, 32768, 59.79
2026/05/20 02:47:57.953, 4, 11, 1, 22618, 32768, 61.80
2026/05/20 02:47:57.954, 5, 3, 0, 19210, 32768, 61.31
2026/05/20 02:47:57.956, 6, 9, 1, 19190, 32768, 60.78
2026/05/20 02:47:57.957, 7, 0, 0, 13382, 32768, 63.69
2026/05/20 02:47:58.459, 0, 18, 2, 23598, 32768, 103.05
2026/05/20 02:47:58.461, 1, 20, 3, 22618, 32768, 56.34
2026/05/20 02:47:58.463, 2, 10, 1, 22618, 32768, 57.86
2026/05/20 02:47:58.464, 3, 20, 3, 22618, 32768, 59.79
2026/05/20 02:47:58.466, 4, 17, 2, 22618, 32768, 62.30
2026/05/20 02:47:58.467, 5, 8, 1, 19210, 32768, 63.28
2026/05/20 02:47:58.469, 6, 8, 1, 19190, 32768, 66.20
2026/05/20 02:47:58.470, 7, 10, 1, 13382, 32768, 68.13
2026/05/20 02:47:58.972, 0, 11, 1, 23598, 32768, 101.57
2026/05/20 02:47:58.974, 1, 16, 2, 22618, 32768, 56.34
2026/05/20 02:47:58.975, 2, 10, 1, 22618, 32768, 57.89
2026/05/20 02:47:58.977, 3, 16, 2, 22618, 32768, 60.28
2026/05/20 02:47:58.978, 4, 20, 3, 22618, 32768, 62.79
2026/05/20 02:47:58.980, 5, 9, 1, 19210, 32768, 63.78
2026/05/20 02:47:58.981, 6, 8, 1, 19190, 32768, 67.19
2026/05/20 02:47:58.983, 7, 10, 1, 13382, 32768, 70.10
2026/05/20 02:47:59.484, 0, 10, 1, 23598, 32768, 93.26
2026/05/20 02:47:59.486, 1, 10, 1, 22618, 32768, 56.34
2026/05/20 02:47:59.487, 2, 10, 1, 22618, 32768, 57.89
2026/05/20 02:47:59.489, 3, 11, 2, 22618, 32768, 60.28
2026/05/20 02:47:59.491, 4, 20, 3, 22618, 32768, 62.79
2026/05/20 02:47:59.492, 5, 17, 2, 19210, 32768, 63.78
2026/05/20 02:47:59.494, 6, 8, 1, 19190, 32768, 67.68
2026/05/20 02:47:59.496, 7, 10, 1, 13382, 32768, 71.04
2026/05/20 02:47:59.997, 0, 10, 1, 23598, 32768, 87.79
2026/05/20 02:47:59.999, 1, 10, 1, 22618, 32768, 56.34
2026/05/20 02:48:00.000, 2, 10, 1, 22618, 32768, 57.89
2026/05/20 02:48:00.002, 3, 10, 1, 22618, 32768, 60.28
2026/05/20 02:48:00.003, 4, 14, 2, 22618, 32768, 62.79
2026/05/20 02:48:00.005, 5, 17, 2, 19210, 32768, 64.27
2026/05/20 02:48:00.006, 6, 8, 1, 19190, 32768, 68.17
2026/05/20 02:48:00.009, 7, 5, 1, 13382, 32768, 71.58
2026/05/20 02:48:00.511, 0, 10, 1, 23598, 32768, 57.82
2026/05/20 02:48:00.513, 1, 10, 1, 22618, 32768, 56.34
2026/05/20 02:48:00.514, 2, 10, 1, 22618, 32768, 57.86
2026/05/20 02:48:00.516, 3, 10, 1, 22618, 32768, 62.26
2026/05/20 02:48:00.517, 4, 10, 1, 22618, 32768, 66.24
2026/05/20 02:48:00.519, 5, 15, 2, 19210, 32768, 68.71
2026/05/20 02:48:00.527, 6, 8, 1, 19190, 32768, 78.53
2026/05/20 02:48:00.531, 7, 8, 2, 13384, 32768, 86.80
2026/05/20 02:48:01.034, 0, 10, 1, 23598, 32768, 57.82
2026/05/20 02:48:01.035, 1, 12, 2, 22618, 32768, 56.83
2026/05/20 02:48:01.037, 2, 17, 2, 22618, 32768, 59.34
2026/05/20 02:48:01.038, 3, 10, 1, 22618, 32768, 64.72
2026/05/20 02:48:01.040, 4, 10, 1, 22618, 32768, 80.94
2026/05/20 02:48:01.042, 5, 8, 1, 19210, 32768, 112.48
2026/05/20 02:48:01.044, 6, 13, 2, 19190, 32768, 87.41
2026/05/20 02:48:01.046, 7, 7, 2, 13382, 32768, 59.71
2026/05/20 02:48:01.547, 0, 13, 2, 23598, 32768, 57.82
2026/05/20 02:48:01.549, 1, 10, 1, 22618, 32768, 57.82
2026/05/20 02:48:01.550, 2, 20, 3, 22618, 32768, 62.30
2026/05/20 02:48:01.552, 3, 11, 2, 22618, 32768, 77.49
2026/05/20 02:48:01.554, 4, 16, 2, 22618, 32768, 125.21
2026/05/20 02:48:01.555, 5, 9, 1, 19210, 32768, 71.09
2026/05/20 02:48:01.557, 6, 17, 2, 19190, 32768, 60.32
2026/05/20 02:48:01.559, 7, 7, 2, 13382, 32768, 59.75
2026/05/20 02:48:02.060, 0, 20, 3, 23598, 32768, 58.81
2026/05/20 02:48:02.062, 1, 20, 3, 22618, 32768, 61.27
2026/05/20 02:48:02.063, 2, 11, 1, 22618, 32768, 74.09
2026/05/20 02:48:02.065, 3, 20, 3, 22618, 32768, 119.23
2026/05/20 02:48:02.066, 4, 18, 2, 22618, 32768, 72.12
2026/05/20 02:48:02.068, 5, 9, 1, 19210, 32768, 61.31
2026/05/20 02:48:02.069, 6, 13, 2, 19190, 32768, 59.83
2026/05/20 02:48:02.071, 7, 7, 2, 13382, 32768, 59.75
2026/05/20 02:48:02.573, 0, 20, 3, 23600, 32768, 57.82
2026/05/20 02:48:02.574, 1, 20, 3, 22620, 32768, 56.34
2026/05/20 02:48:02.576, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:02.577, 3, 0, 0, 22620, 32768, 60.78
2026/05/20 02:48:02.579, 4, 14, 2, 22620, 32768, 73.55
2026/05/20 02:48:02.580, 5, 0, 0, 19212, 32768, 141.46
2026/05/20 02:48:02.582, 6, 17, 2, 19194, 32768, 59.83
2026/05/20 02:48:02.584, 7, 10, 1, 13386, 32768, 59.75
2026/05/20 02:48:03.085, 0, 20, 3, 23600, 32768, 57.82
2026/05/20 02:48:03.087, 1, 20, 3, 22620, 32768, 56.34
2026/05/20 02:48:03.088, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:03.090, 3, 0, 0, 22620, 32768, 60.28
2026/05/20 02:48:03.092, 4, 9, 1, 22620, 32768, 64.23
2026/05/20 02:48:03.093, 5, 0, 0, 19212, 32768, 80.01
2026/05/20 02:48:03.096, 6, 15, 2, 19194, 32768, 127.68
2026/05/20 02:48:03.098, 7, 6, 1, 13386, 32768, 59.71
2026/05/20 02:48:03.599, 0, 20, 3, 23600, 32768, 57.82
2026/05/20 02:48:03.601, 1, 20, 3, 22620, 32768, 56.34
2026/05/20 02:48:03.602, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:03.604, 3, 0, 0, 22620, 32768, 59.79
2026/05/20 02:48:03.605, 4, 6, 1, 22620, 32768, 62.30
2026/05/20 02:48:03.607, 5, 0, 0, 19212, 32768, 65.75
2026/05/20 02:48:03.609, 6, 6, 1, 19192, 32768, 104.04
2026/05/20 02:48:03.610, 7, 3, 0, 13386, 32768, 109.80
2026/05/20 02:48:04.112, 0, 20, 3, 23600, 32768, 57.82
2026/05/20 02:48:04.113, 1, 20, 3, 22620, 32768, 56.34
2026/05/20 02:48:04.115, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:04.116, 3, 0, 0, 22620, 32768, 59.79
2026/05/20 02:48:04.117, 4, 0, 0, 22620, 32768, 61.80
2026/05/20 02:48:04.119, 5, 0, 0, 19212, 32768, 62.30
2026/05/20 02:48:04.120, 6, 0, 0, 19192, 32768, 76.51
2026/05/20 02:48:04.121, 7, 0, 0, 13386, 32768, 114.80
2026/05/20 02:48:04.623, 0, 20, 3, 23600, 32768, 84.39
2026/05/20 02:48:04.625, 1, 20, 3, 22620, 32768, 56.34
2026/05/20 02:48:04.627, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:04.629, 3, 0, 0, 22620, 32768, 59.79
2026/05/20 02:48:04.631, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:04.633, 5, 0, 0, 19212, 32768, 61.31
2026/05/20 02:48:04.636, 6, 0, 0, 19192, 32768, 64.72
2026/05/20 02:48:04.638, 7, 0, 0, 13386, 32768, 74.49
2026/05/20 02:48:05.140, 0, 20, 3, 23600, 32768, 123.16
2026/05/20 02:48:05.142, 1, 20, 3, 22620, 32768, 56.30
2026/05/20 02:48:05.143, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:05.145, 3, 19, 3, 22620, 32768, 59.79
2026/05/20 02:48:05.151, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:05.153, 5, 4, 1, 19212, 32768, 60.82
2026/05/20 02:48:05.155, 6, 0, 0, 19192, 32768, 60.82
2026/05/20 02:48:05.156, 7, 0, 0, 13386, 32768, 62.22
2026/05/20 02:48:05.658, 0, 20, 3, 23600, 32768, 80.89
2026/05/20 02:48:05.660, 1, 20, 3, 22620, 32768, 117.83
2026/05/20 02:48:05.662, 2, 20, 3, 22620, 32768, 57.89
2026/05/20 02:48:05.665, 3, 15, 2, 22620, 32768, 59.79
2026/05/20 02:48:05.666, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:05.668, 5, 10, 1, 19212, 32768, 60.82
2026/05/20 02:48:05.670, 6, 0, 0, 19192, 32768, 60.32
2026/05/20 02:48:05.672, 7, 0, 0, 13386, 32768, 60.24
2026/05/20 02:48:06.174, 0, 16, 2, 23600, 32768, 61.72
2026/05/20 02:48:06.177, 1, 18, 2, 22620, 32768, 129.15
2026/05/20 02:48:06.178, 2, 20, 3, 22620, 32768, 71.67
2026/05/20 02:48:06.179, 3, 10, 1, 22620, 32768, 59.75
2026/05/20 02:48:06.180, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:06.182, 5, 16, 2, 19212, 32768, 60.82
2026/05/20 02:48:06.184, 6, 0, 0, 19192, 32768, 59.83
2026/05/20 02:48:06.186, 7, 0, 0, 13386, 32768, 59.75
2026/05/20 02:48:06.688, 0, 12, 2, 23600, 32768, 59.26
2026/05/20 02:48:06.689, 1, 14, 2, 22620, 32768, 72.61
2026/05/20 02:48:06.691, 2, 20, 3, 22620, 32768, 127.76
2026/05/20 02:48:06.694, 3, 6, 1, 22620, 32768, 59.75
2026/05/20 02:48:06.695, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:06.696, 5, 17, 2, 19212, 32768, 60.82
2026/05/20 02:48:06.698, 6, 17, 2, 19192, 32768, 60.32
2026/05/20 02:48:06.700, 7, 0, 0, 13386, 32768, 59.75
2026/05/20 02:48:07.201, 0, 20, 3, 23600, 32768, 58.31
2026/05/20 02:48:07.203, 1, 16, 2, 22620, 32768, 65.21
2026/05/20 02:48:07.205, 2, 20, 3, 22620, 32768, 134.66
2026/05/20 02:48:07.208, 3, 8, 1, 22620, 32768, 59.75
2026/05/20 02:48:07.210, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:07.212, 5, 17, 2, 19212, 32768, 60.82
2026/05/20 02:48:07.213, 6, 17, 2, 19192, 32768, 60.28
2026/05/20 02:48:07.215, 7, 13, 3, 13386, 32768, 59.75
2026/05/20 02:48:07.718, 0, 20, 3, 23600, 32768, 58.31
2026/05/20 02:48:07.719, 1, 19, 3, 22620, 32768, 59.79
2026/05/20 02:48:07.721, 2, 20, 3, 22620, 32768, 117.49
2026/05/20 02:48:07.723, 3, 11, 1, 22620, 32768, 89.75
2026/05/20 02:48:07.724, 4, 20, 3, 22620, 32768, 61.80
2026/05/20 02:48:07.726, 5, 17, 2, 19212, 32768, 60.82
2026/05/20 02:48:07.728, 6, 17, 2, 19192, 32768, 60.32
2026/05/20 02:48:07.730, 7, 13, 3, 13386, 32768, 59.75
2026/05/20 02:48:08.232, 0, 20, 3, 23600, 32768, 57.82
2026/05/20 02:48:08.235, 1, 20, 3, 22620, 32768, 59.79
2026/05/20 02:48:08.236, 2, 20, 3, 22620, 32768, 88.89
