schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1
async_pipeline_mode	per-step
mtp_serving	off
mtp_top_k	5

ctx	slots	policy	mtp_serving	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	mtp_attempted	mtp_accepted	mtp_rejected	mtp_committed	mtp_draft_ms_avg	mtp_draft_ms_total	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
1048576	2	sequential	off	4	0	0	4	0	5752.439	5752.228	5771.256	5771.364	11.506396	5.562124	5.214491	5.892399	14.780	21.000	0	0	0	0	0.000	0.000	5583.052	22.967	5556.772	3.297	17905.501	41.363	3.922
1048576	4	sequential	off	4	0	0	4	0	7397.521	7397.461	7398.388	7398.492	7.399361	8.649395	8.108808	4.681312	19.029	40.000	0	0	0	0	0.000	0.000	7066.214	22.723	7040.209	3.266	18833.140	245.775	7.205
