schema	ds4_v100_tp_ep_sustained_http.v3
backend	tp_ep_launcher_http

tokens	ctx	slots	generation_requests	coalesced_batches	coalesced_batch_max	status_200	generated_tokens	continuation_tokens	elapsed_s	generated_tok_s	continuation_tok_s	generated_tok_s_decode	continuation_tok_s_decode	ep_ms	dense_ms	compose_ms	compose_reduce_ms	compose_copy_ms	compose_final_ms	gpu_util_avg	gpu_util_max	gpu_mem_used_max_mib
32	262144	32	32	1	32	32	1024	992	1.419371	721.446441	754.349321	950.363316	1001.040216	487.880215	0.000000	589.227553	72.606133	326.330720	190.290700	9.270833	30.000000	13184.000000
64	262144	32	32	1	32	32	2048	2016	2.601242	787.316214	806.966811	1030.972573	1061.264116	901.725865	0.000000	1084.080075	128.245916	598.036421	357.797738	11.050000	32.000000	13184.000000
