schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	0
async_pipeline_mode	off

ctx	slots	policy	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
1048576	2	sequential	4	0	0	4	0	8303.591	8303.677	8315.257	8315.285	16.608526	3.853443	3.612602	4.016838	11.070	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1048576	4	sequential	4	0	0	4	0	16740.866	16740.881	16741.123	16741.157	16.742617	3.822580	3.583669	2.001858	11.538	40.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
262144	2	sequential	4	0	0	4	0	8297.904	8297.947	8300.952	8300.982	16.596976	3.856124	3.615116	4.004667	12.471	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
262144	4	sequential	4	0	0	4	0	16665.700	16665.537	16666.358	16666.458	16.667376	3.839836	3.599847	2.007476	11.424	40.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
