mode	generated_tok_s	continuation_tok_s	latency_avg_ms	output_head_ms	avg_gpu_util_percent	max_gpu_util_percent	token_match	errors	delta_generated_percent	delta_output_head_percent
host_logit_default	8.659254	8.118051	7389.251	346.461	19.285	40.000	4	0	0.000	0.000
device_top1_candidate	8.697510	8.153916	7356.500	423.818	18.800	40.000	4	0	0.442	22.328
