2026/05/21 12:49:57.622, 0, 0, 0
2026/05/21 12:49:57.622, 1, 0, 0
2026/05/21 12:49:57.622, 2, 0, 0
2026/05/21 12:49:57.623, 3, 0, 0
2026/05/21 12:49:57.623, 4, 0, 0
2026/05/21 12:49:57.623, 5, 0, 0
2026/05/21 12:49:57.623, 6, 0, 0
2026/05/21 12:49:57.624, 7, 0, 0
2026/05/21 12:49:58.242, 0, 0, 4
2026/05/21 12:49:58.242, 1, 0, 4
2026/05/21 12:49:58.247, 2, 0, 4
2026/05/21 12:49:58.247, 3, 0, 4
2026/05/21 12:49:58.247, 4, 0, 4
2026/05/21 12:49:58.247, 5, 0, 4
2026/05/21 12:49:58.247, 6, 0, 4
2026/05/21 12:49:58.248, 7, 0, 0
2026/05/21 12:49:59.141, 0, 0, 16
2026/05/21 12:49:59.147, 1, 0, 16
2026/05/21 12:49:59.154, 2, 0, 16
2026/05/21 12:49:59.160, 3, 0, 16
2026/05/21 12:49:59.171, 4, 0, 16
2026/05/21 12:49:59.178, 5, 0, 16
2026/05/21 12:49:59.181, 6, 0, 16
2026/05/21 12:49:59.188, 7, 0, 16
2026/05/21 12:49:59.867, 0, 0, 30
2026/05/21 12:49:59.867, 1, 1, 20812
2026/05/21 12:49:59.867, 2, 0, 30
2026/05/21 12:49:59.867, 3, 0, 28
2026/05/21 12:49:59.868, 4, 1, 20812
2026/05/21 12:49:59.868, 5, 0, 28
2026/05/21 12:49:59.868, 6, 0, 28
2026/05/21 12:49:59.868, 7, 0, 30
2026/05/21 12:50:00.477, 0, 19, 21794
2026/05/21 12:50:00.477, 1, 29, 20812
2026/05/21 12:50:00.478, 2, 25, 20812
2026/05/21 12:50:00.478, 3, 4, 20812
2026/05/21 12:50:00.478, 4, 25, 20812
2026/05/21 12:50:00.478, 5, 26, 17406
2026/05/21 12:50:00.479, 6, 27, 17386
2026/05/21 12:50:00.479, 7, 27, 11582
2026/05/21 12:50:01.072, 0, 4, 21794
2026/05/21 12:50:01.072, 1, 27, 20812
2026/05/21 12:50:01.072, 2, 27, 20812
2026/05/21 12:50:01.073, 3, 4, 20812
2026/05/21 12:50:01.073, 4, 24, 20812
2026/05/21 12:50:01.073, 5, 28, 17406
2026/05/21 12:50:01.073, 6, 29, 17386
2026/05/21 12:50:01.074, 7, 32, 11582
2026/05/21 12:50:01.701, 0, 6, 21794
2026/05/21 12:50:01.702, 1, 25, 20812
2026/05/21 12:50:01.703, 2, 11, 20812
2026/05/21 12:50:01.703, 3, 4, 20812
2026/05/21 12:50:01.704, 4, 26, 20812
2026/05/21 12:50:01.704, 5, 2, 17406
2026/05/21 12:50:01.705, 6, 34, 17386
2026/05/21 12:50:01.705, 7, 40, 11582
2026/05/21 12:50:02.300, 0, 5, 21794
2026/05/21 12:50:02.302, 1, 25, 20812
2026/05/21 12:50:02.302, 2, 3, 20812
2026/05/21 12:50:02.302, 3, 3, 20812
2026/05/21 12:50:02.302, 4, 2, 20812
2026/05/21 12:50:02.303, 5, 2, 17406
2026/05/21 12:50:02.303, 6, 38, 17386
2026/05/21 12:50:02.303, 7, 51, 11582
2026/05/21 12:50:02.872, 0, 4, 21794
2026/05/21 12:50:02.872, 1, 26, 20812
2026/05/21 12:50:02.872, 2, 3, 20812
2026/05/21 12:50:02.873, 3, 3, 20812
2026/05/21 12:50:02.873, 4, 1, 20812
2026/05/21 12:50:02.873, 5, 2, 17406
2026/05/21 12:50:02.873, 6, 36, 17386
2026/05/21 12:50:02.873, 7, 38, 11582
2026/05/21 12:50:03.474, 0, 1, 21794
2026/05/21 12:50:03.475, 1, 22, 20812
2026/05/21 12:50:03.475, 2, 4, 20812
2026/05/21 12:50:03.476, 3, 8, 20812
2026/05/21 12:50:03.476, 4, 1, 20812
2026/05/21 12:50:03.476, 5, 2, 17406
2026/05/21 12:50:03.477, 6, 32, 17386
2026/05/21 12:50:03.477, 7, 38, 11796
2026/05/21 12:50:04.079, 0, 1, 21794
2026/05/21 12:50:04.080, 1, 12, 20812
2026/05/21 12:50:04.080, 2, 4, 20812
2026/05/21 12:50:04.081, 3, 4, 20812
2026/05/21 12:50:04.082, 4, 1, 20812
2026/05/21 12:50:04.082, 5, 2, 17406
2026/05/21 12:50:04.083, 6, 26, 17386
2026/05/21 12:50:04.083, 7, 0, 11838
2026/05/21 12:50:04.672, 0, 7, 21794
2026/05/21 12:50:04.673, 1, 19, 20812
2026/05/21 12:50:04.673, 2, 4, 20812
2026/05/21 12:50:04.673, 3, 3, 20812
2026/05/21 12:50:04.673, 4, 30, 20812
2026/05/21 12:50:04.674, 5, 27, 17406
2026/05/21 12:50:04.674, 6, 25, 17386
2026/05/21 12:50:04.674, 7, 0, 11838
2026/05/21 12:50:05.279, 0, 4, 21794
2026/05/21 12:50:05.279, 1, 3, 20812
2026/05/21 12:50:05.279, 2, 9, 20812
2026/05/21 12:50:05.280, 3, 4, 20812
2026/05/21 12:50:05.280, 4, 25, 20812
2026/05/21 12:50:05.280, 5, 11, 17406
2026/05/21 12:50:05.280, 6, 27, 17386
2026/05/21 12:50:05.281, 7, 0, 11838
2026/05/21 12:50:05.869, 0, 7, 21794
2026/05/21 12:50:05.869, 1, 3, 20812
2026/05/21 12:50:05.870, 2, 3, 20812
2026/05/21 12:50:05.870, 3, 4, 20812
2026/05/21 12:50:05.870, 4, 28, 20812
2026/05/21 12:50:05.870, 5, 2, 17406
2026/05/21 12:50:05.871, 6, 27, 17496
2026/05/21 12:50:05.871, 7, 0, 11838
2026/05/21 12:50:06.475, 0, 2, 21794
2026/05/21 12:50:06.475, 1, 1, 20812
2026/05/21 12:50:06.476, 2, 3, 20812
2026/05/21 12:50:06.476, 3, 2, 20812
2026/05/21 12:50:06.476, 4, 26, 20812
2026/05/21 12:50:06.476, 5, 2, 17406
2026/05/21 12:50:06.477, 6, 0, 17866
2026/05/21 12:50:06.477, 7, 0, 11838
2026/05/21 12:50:07.078, 0, 3, 21794
2026/05/21 12:50:07.078, 1, 3, 20812
2026/05/21 12:50:07.078, 2, 7, 20812
2026/05/21 12:50:07.078, 3, 2, 20812
2026/05/21 12:50:07.079, 4, 8, 20812
2026/05/21 12:50:07.079, 5, 2, 17406
2026/05/21 12:50:07.079, 6, 0, 17866
2026/05/21 12:50:07.079, 7, 0, 11838
2026/05/21 12:50:07.668, 0, 3, 21794
2026/05/21 12:50:07.668, 1, 3, 20812
2026/05/21 12:50:07.668, 2, 3, 20812
2026/05/21 12:50:07.669, 3, 3, 20812
2026/05/21 12:50:07.669, 4, 6, 20812
2026/05/21 12:50:07.669, 5, 4, 17406
2026/05/21 12:50:07.670, 6, 0, 17866
2026/05/21 12:50:07.670, 7, 0, 11838
2026/05/21 12:50:08.313, 0, 3, 21794
2026/05/21 12:50:08.314, 1, 6, 20812
2026/05/21 12:50:08.314, 2, 4, 20812
2026/05/21 12:50:08.314, 3, 4, 20812
2026/05/21 12:50:08.314, 4, 10, 20812
2026/05/21 12:50:08.315, 5, 8, 17406
2026/05/21 12:50:08.315, 6, 0, 17866
2026/05/21 12:50:08.315, 7, 0, 11838
2026/05/21 12:50:08.901, 0, 1, 21794
2026/05/21 12:50:08.902, 1, 3, 20812
2026/05/21 12:50:08.902, 2, 4, 20812
2026/05/21 12:50:08.902, 3, 4, 20812
2026/05/21 12:50:08.903, 4, 13, 20812
2026/05/21 12:50:08.903, 5, 16, 17406
2026/05/21 12:50:08.903, 6, 0, 17866
2026/05/21 12:50:08.903, 7, 0, 11838
2026/05/21 12:50:09.490, 0, 2, 21794
2026/05/21 12:50:09.491, 1, 3, 20812
2026/05/21 12:50:09.491, 2, 4, 20812
2026/05/21 12:50:09.491, 3, 4, 20812
2026/05/21 12:50:09.491, 4, 35, 20812
2026/05/21 12:50:09.492, 5, 26, 17406
2026/05/21 12:50:09.492, 6, 0, 17866
2026/05/21 12:50:09.492, 7, 0, 11838
2026/05/21 12:50:10.106, 0, 2, 21794
2026/05/21 12:50:10.106, 1, 3, 20812
2026/05/21 12:50:10.106, 2, 3, 20812
2026/05/21 12:50:10.107, 3, 4, 20812
2026/05/21 12:50:10.107, 4, 30, 20812
2026/05/21 12:50:10.107, 5, 10, 17406
2026/05/21 12:50:10.107, 6, 0, 17866
2026/05/21 12:50:10.108, 7, 0, 11838
2026/05/21 12:50:10.697, 0, 2, 21794
2026/05/21 12:50:10.698, 1, 2, 20812
2026/05/21 12:50:10.698, 2, 3, 20812
