ep_window	2.9303	87720
prefix_attn_output	1.1435	87720
route_plan_pack	0.7481	87720
final_hc	0.6720	87720
ep_return_relay	0.6014	87720
prefix_hc_current	0.5747	87720
barrier_978_shared_down	0.4433	87720
barrier_1373_compose	0.3925	87720
prefix_attn_projection	0.3035	87720
shared_swiglu_down	0.2865	87720
prefix_attn_state	0.2550	87720
gate_up_gemm	0.1590	87720
barrier_1144_contrib_pack	0.1010	87720
dense_overlap	0.0924	87720
down_gemm	0.0772	87720
barrier_954_post_dense_launch	0.0734	87720
prefix_typed_history	0.0465	87720
compose	0.0139	87720
prefix_raw_read	0.0135	87720
contrib_pack	0.0091	87720
