schema	ds4_v100_tp_ep_sustained_http.v2
backend	tp_ep_launcher_http

tokens	ctx	slots	generation_requests	status_200	generated_tokens	continuation_tokens	elapsed_s	generated_tok_s	continuation_tok_s	generated_tok_s_decode	continuation_tok_s_decode	gpu_util_avg	gpu_util_max	gpu_mem_used_max_mib
32	262144	32	3	96	3072	2976	4.089923	751.114404	760.078310	972.107940	985.591696	18.875000	40.000000	13184.000000
64	262144	32	3	96	6144	6048	8.060058	762.277426	766.925593	988.565789	995.281608	19.870536	41.000000	13184.000000
