case	typed_history	http_200	requests	elapsed_s	client_generated_tok_s	server_generated_tok_s	server_generated_tok_s_decode	server_continuation_tok_s	server_continuation_tok_s_decode	coalesced_batch_size	generated_tokens_meta	cache_hits	cache_misses	typed_gate_meta	typed_raw_lines	typed_compressed_lines	typed_indexer_lines	typed_history_lines	history_loaded_attn_rows_2	history_loaded_indexer_rows_2
control	False	32	32	2.5326480865478516	101.07997291836273	311.293794	735.203733	311.676963	736.050541	32	256	0	32	0	0	0	0	0	0	0
typed-history	True	32	32	13.992801189422607	18.295121651089755	68.358523	78.858737	67.987215	78.336387	32	256	0	32	1	943	105	105	899	84	84
