M	N	K	label	ms	tflops	gbps	max_abs	p99_abs	mean_abs	ok
32	128	4096	cublas-f16-tensorop	0.009250133	3.627454	143.468639	0.000109195709	8.84532928e-05	3.07730152e-05	1
32	128	4096	tc-grid-v12s-ks8+zero	0.042721281	0.785427	25.695110	0.0152216852	0.0125700533	0.00382763621	1
32	128	4096	tc-grid-v13-rf-v6	0.282149556	0.118924	3.890589	0.0134011507	0.0113930106	0.00375202874	1
32	64	4096	cublas-f16-tensorop	0.008802987	1.905855	90.267543	0.000109195709	8.92877579e-05	3.0997413e-05	1
32	64	4096	tc-grid-v12s-ks8+zero	0.036672853	0.457483	22.114669	0.0152216852	0.0125700533	0.00382366363	1
32	64	4096	tc-grid-v13-rf-v6	0.260751368	0.064342	3.110273	0.0134011507	0.0113930106	0.00376133039	1
