timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:27:21.137, 5, 2, 17406, 15089
2026/05/23 06:27:21.137, 6, 2, 17386, 15109
2026/05/23 06:27:21.138, 7, 2, 11582, 20913
2026/05/23 06:27:22.226, 0, 2, 21794, 10701
2026/05/23 06:27:22.226, 1, 2, 20812, 11683
2026/05/23 06:27:22.226, 2, 1, 20812, 11683
2026/05/23 06:27:22.226, 3, 2, 20812, 11683
2026/05/23 06:27:22.227, 4, 2, 20812, 11683
2026/05/23 06:27:22.227, 5, 2, 17406, 15089
2026/05/23 06:27:22.227, 6, 2, 17386, 15109
2026/05/23 06:27:22.227, 7, 2, 11582, 20913
2026/05/23 06:27:23.338, 0, 2, 21794, 10701
2026/05/23 06:27:23.338, 1, 2, 20812, 11683
2026/05/23 06:27:23.339, 2, 2, 20812, 11683
2026/05/23 06:27:23.339, 3, 2, 20812, 11683
2026/05/23 06:27:23.339, 4, 2, 20812, 11683
2026/05/23 06:27:23.339, 5, 2, 17406, 15089
2026/05/23 06:27:23.340, 6, 2, 17386, 15109
2026/05/23 06:27:23.340, 7, 1, 11582, 20913
2026/05/23 06:27:24.477, 0, 2, 21794, 10701
2026/05/23 06:27:24.477, 1, 2, 20812, 11683
2026/05/23 06:27:24.477, 2, 2, 20812, 11683
2026/05/23 06:27:24.477, 3, 2, 20812, 11683
2026/05/23 06:27:24.478, 4, 2, 20812, 11683
2026/05/23 06:27:24.478, 5, 2, 17406, 15089
2026/05/23 06:27:24.478, 6, 2, 17386, 15109
2026/05/23 06:27:24.478, 7, 2, 11582, 20913
2026/05/23 06:27:25.611, 0, 2, 21794, 10701
2026/05/23 06:27:25.612, 1, 2, 20812, 11683
2026/05/23 06:27:25.612, 2, 1, 20812, 11683
2026/05/23 06:27:25.612, 3, 2, 20812, 11683
2026/05/23 06:27:25.613, 4, 2, 20812, 11683
2026/05/23 06:27:25.613, 5, 2, 17406, 15089
2026/05/23 06:27:25.613, 6, 2, 17386, 15109
2026/05/23 06:27:25.614, 7, 2, 11582, 20913
2026/05/23 06:27:26.721, 0, 2, 21794, 10701
2026/05/23 06:27:26.721, 1, 2, 20812, 11683
2026/05/23 06:27:26.721, 2, 9, 20812, 11683
2026/05/23 06:27:26.722, 3, 3, 20812, 11683
2026/05/23 06:27:26.722, 4, 14, 20812, 11683
2026/05/23 06:27:26.723, 5, 2, 17406, 15089
2026/05/23 06:27:26.723, 6, 2, 17386, 15109
2026/05/23 06:27:26.723, 7, 2, 11582, 20913
2026/05/23 06:27:27.811, 0, 2, 21794, 10701
2026/05/23 06:27:27.812, 1, 2, 20812, 11683
2026/05/23 06:27:27.812, 2, 2, 20812, 11683
2026/05/23 06:27:27.813, 3, 2, 20812, 11683
2026/05/23 06:27:27.813, 4, 2, 20812, 11683
2026/05/23 06:27:27.813, 5, 2, 17406, 15089
2026/05/23 06:27:27.814, 6, 2, 17386, 15109
2026/05/23 06:27:27.814, 7, 2, 11582, 20913
2026/05/23 06:27:28.926, 0, 2, 21794, 10701
2026/05/23 06:27:28.927, 1, 3, 20812, 11683
2026/05/23 06:27:28.927, 2, 2, 20812, 11683
2026/05/23 06:27:28.927, 3, 2, 20812, 11683
2026/05/23 06:27:28.928, 4, 1, 20812, 11683
2026/05/23 06:27:28.928, 5, 2, 17406, 15089
2026/05/23 06:27:28.928, 6, 2, 17386, 15109
2026/05/23 06:27:28.929, 7, 2, 11582, 20913
2026/05/23 06:27:30.060, 0, 3, 21794, 10701
2026/05/23 06:27:30.061, 1, 1, 20812, 11683
2026/05/23 06:27:30.061, 2, 3, 20812, 11683
2026/05/23 06:27:30.062, 3, 3, 20812, 11683
2026/05/23 06:27:30.062, 4, 2, 20812, 11683
2026/05/23 06:27:30.063, 5, 3, 17406, 15089
2026/05/23 06:27:30.064, 6, 3, 17386, 15109
2026/05/23 06:27:30.064, 7, 2, 11582, 20913
2026/05/23 06:27:31.179, 0, 2, 21794, 10701
2026/05/23 06:27:31.180, 1, 2, 20812, 11683
2026/05/23 06:27:31.180, 2, 2, 20812, 11683
2026/05/23 06:27:31.180, 3, 2, 20812, 11683
2026/05/23 06:27:31.180, 4, 2, 20812, 11683
2026/05/23 06:27:31.181, 5, 2, 17406, 15089
2026/05/23 06:27:31.181, 6, 2, 17386, 15109
2026/05/23 06:27:31.181, 7, 6, 11582, 20913
2026/05/23 06:27:32.288, 0, 2, 21794, 10701
2026/05/23 06:27:32.289, 1, 2, 20812, 11683
2026/05/23 06:27:32.289, 2, 2, 20812, 11683
2026/05/23 06:27:32.289, 3, 2, 20812, 11683
2026/05/23 06:27:32.289, 4, 2, 20812, 11683
2026/05/23 06:27:32.290, 5, 2, 17406, 15089
2026/05/23 06:27:32.290, 6, 2, 17386, 15109
2026/05/23 06:27:32.290, 7, 2, 11582, 20913
2026/05/23 06:27:33.397, 0, 2, 21794, 10701
2026/05/23 06:27:33.397, 1, 2, 20812, 11683
2026/05/23 06:27:33.397, 2, 34, 20812, 11683
2026/05/23 06:27:33.398, 3, 3, 20812, 11683
2026/05/23 06:27:33.398, 4, 5, 20812, 11683
2026/05/23 06:27:33.398, 5, 6, 17406, 15089
2026/05/23 06:27:33.399, 6, 2, 17386, 15109
2026/05/23 06:27:33.399, 7, 3, 11582, 20913
2026/05/23 06:27:34.492, 0, 2, 21794, 10701
2026/05/23 06:27:34.492, 1, 2, 20812, 11683
2026/05/23 06:27:34.492, 2, 2, 20812, 11683
2026/05/23 06:27:34.492, 3, 2, 20812, 11683
2026/05/23 06:27:34.493, 4, 26, 20812, 11683
2026/05/23 06:27:34.493, 5, 3, 17406, 15089
2026/05/23 06:27:34.493, 6, 2, 17386, 15109
2026/05/23 06:27:34.494, 7, 2, 11582, 20913
2026/05/23 06:27:35.588, 0, 2, 21794, 10701
2026/05/23 06:27:35.589, 1, 7, 20812, 11683
2026/05/23 06:27:35.589, 2, 1, 20812, 11683
2026/05/23 06:27:35.590, 3, 3, 20812, 11683
2026/05/23 06:27:35.590, 4, 3, 20812, 11683
2026/05/23 06:27:35.590, 5, 2, 17406, 15089
2026/05/23 06:27:35.591, 6, 2, 17386, 15109
2026/05/23 06:27:35.591, 7, 12, 11582, 20913
2026/05/23 06:27:36.688, 0, 3, 21794, 10701
2026/05/23 06:27:36.688, 1, 3, 20812, 11683
2026/05/23 06:27:36.690, 2, 2, 20812, 11683
2026/05/23 06:27:36.690, 3, 4, 20812, 11683
2026/05/23 06:27:36.690, 4, 3, 20812, 11683
2026/05/23 06:27:36.691, 5, 16, 17406, 15089
2026/05/23 06:27:36.691, 6, 3, 17386, 15109
2026/05/23 06:27:36.691, 7, 3, 11582, 20913
2026/05/23 06:27:37.801, 0, 3, 21794, 10701
2026/05/23 06:27:37.801, 1, 3, 20812, 11683
2026/05/23 06:27:37.802, 2, 13, 20812, 11683
2026/05/23 06:27:37.802, 3, 9, 20812, 11683
2026/05/23 06:27:37.802, 4, 4, 20812, 11683
2026/05/23 06:27:37.802, 5, 2, 17406, 15089
2026/05/23 06:27:37.803, 6, 3, 17386, 15109
2026/05/23 06:27:37.803, 7, 15, 11582, 20913
2026/05/23 06:27:38.887, 0, 3, 21794, 10701
2026/05/23 06:27:38.887, 1, 1, 20812, 11683
2026/05/23 06:27:38.887, 2, 1, 20812, 11683
2026/05/23 06:27:38.887, 3, 8, 20812, 11683
2026/05/23 06:27:38.888, 4, 4, 20812, 11683
2026/05/23 06:27:38.888, 5, 2, 17406, 15089
2026/05/23 06:27:38.888, 6, 3, 17386, 15109
2026/05/23 06:27:38.888, 7, 3, 11582, 20913
2026/05/23 06:27:39.956, 0, 2, 21794, 10701
2026/05/23 06:27:39.956, 1, 1, 20812, 11683
2026/05/23 06:27:39.957, 2, 2, 20812, 11683
2026/05/23 06:27:39.957, 3, 3, 20812, 11683
2026/05/23 06:27:39.957, 4, 3, 20812, 11683
2026/05/23 06:27:39.957, 5, 2, 17406, 15089
2026/05/23 06:27:39.958, 6, 3, 17386, 15109
2026/05/23 06:27:39.958, 7, 3, 11582, 20913
2026/05/23 06:27:41.043, 0, 1, 21794, 10701
2026/05/23 06:27:41.043, 1, 5, 20812, 11683
2026/05/23 06:27:41.043, 2, 4, 20812, 11683
2026/05/23 06:27:41.043, 3, 7, 20812, 11683
2026/05/23 06:27:41.044, 4, 4, 20812, 11683
2026/05/23 06:27:41.044, 5, 15, 17406, 15089
2026/05/23 06:27:41.044, 6, 3, 17386, 15109
2026/05/23 06:27:41.044, 7, 3, 11582, 20913
2026/05/23 06:27:42.129, 0, 1, 21794, 10701
2026/05/23 06:27:42.130, 1, 1, 20812, 11683
2026/05/23 06:27:42.130, 2, 4, 20812, 11683
2026/05/23 06:27:42.130, 3, 8, 20812, 11683
2026/05/23 06:27:42.130, 4, 10, 20812, 11683
2026/05/23 06:27:42.130, 5, 3, 17406, 15089
2026/05/23 06:27:42.131, 6, 3, 17386, 15109
2026/05/23 06:27:42.131, 7, 3, 11582, 20913
2026/05/23 06:27:43.225, 0, 2, 21794, 10701
2026/05/23 06:27:43.226, 1, 1, 20812, 11683
2026/05/23 06:27:43.226, 2, 3, 20812, 11683
2026/05/23 06:27:43.226, 3, 6, 20812, 11683
2026/05/23 06:27:43.226, 4, 23, 20812, 11683
2026/05/23 06:27:43.227, 5, 5, 17406, 15089
2026/05/23 06:27:43.227, 6, 3, 17386, 15109
2026/05/23 06:27:43.227, 7, 0, 11620, 20875
2026/05/23 06:27:44.302, 0, 5, 21794, 10701
2026/05/23 06:27:44.303, 1, 15, 20812, 11683
2026/05/23 06:27:44.303, 2, 3, 20812, 11683
2026/05/23 06:27:44.303, 3, 3, 20812, 11683
2026/05/23 06:27:44.303, 4, 11, 20812, 11683
2026/05/23 06:27:44.304, 5, 4, 17406, 15089
2026/05/23 06:27:44.304, 6, 3, 17386, 15109
2026/05/23 06:27:44.304, 7, 0, 11620, 20875
2026/05/23 06:27:45.425, 0, 3, 21794, 10701
2026/05/23 06:27:45.425, 1, 2, 20812, 11683
2026/05/23 06:27:45.425, 2, 6, 20812, 11683
2026/05/23 06:27:45.425, 3, 3, 20812, 11683
2026/05/23 06:27:45.426, 4, 4, 20812, 11683
2026/05/23 06:27:45.426, 5, 3, 17406, 15089
2026/05/23 06:27:45.426, 6, 3, 17386, 15109
2026/05/23 06:27:45.426, 7, 0, 11620, 20875
2026/05/23 06:27:46.533, 0, 4, 21794, 10701
2026/05/23 06:27:46.533, 1, 3, 20812, 11683
2026/05/23 06:27:46.534, 2, 3, 20812, 11683
2026/05/23 06:27:46.534, 3, 3, 20812, 11683
2026/05/23 06:27:46.534, 4, 4, 20812, 11683
2026/05/23 06:27:46.534, 5, 2, 17406, 15089
2026/05/23 06:27:46.535, 6, 3, 17386, 15109
2026/05/23 06:27:46.535, 7, 0, 11620, 20875
2026/05/23 06:27:47.640, 0, 2, 21794, 10701
2026/05/23 06:27:47.640, 1, 3, 20812, 11683
2026/05/23 06:27:47.641, 2, 3, 20812, 11683
2026/05/23 06:27:47.641, 3, 3, 20812, 11683
2026/05/23 06:27:47.641, 4, 3, 20812, 11683
2026/05/23 06:27:47.641, 5, 3, 17406, 15089
2026/05/23 06:27:47.642, 6, 3, 17386, 15109
2026/05/23 06:27:47.642, 7, 0, 11620, 20875
2026/05/23 06:27:48.729, 0, 3, 21794, 10701
2026/05/23 06:27:48.729, 1, 2, 20812, 11683
2026/05/23 06:27:48.729, 2, 3, 20812, 11683
2026/05/23 06:27:48.730, 3, 4, 20812, 11683
2026/05/23 06:27:48.730, 4, 3, 20812, 11683
2026/05/23 06:27:48.730, 5, 3, 17406, 15089
2026/05/23 06:27:48.730, 6, 3, 17386, 15109
2026/05/23 06:27:48.731, 7, 0, 11620, 20875
2026/05/23 06:27:49.815, 0, 3, 21794, 10701
2026/05/23 06:27:49.816, 1, 3, 20812, 11683
2026/05/23 06:27:49.816, 2, 4, 20812, 11683
2026/05/23 06:27:49.816, 3, 3, 20812, 11683
2026/05/23 06:27:49.816, 4, 3, 20812, 11683
2026/05/23 06:27:49.817, 5, 3, 17406, 15089
2026/05/23 06:27:49.817, 6, 3, 17386, 15109
2026/05/23 06:27:49.817, 7, 0, 11620, 20875
2026/05/23 06:27:50.902, 0, 3, 21794, 10701
2026/05/23 06:27:50.902, 1, 3, 20812, 11683
2026/05/23 06:27:50.903, 2, 4, 20812, 11683
2026/05/23 06:27:50.903, 3, 4, 20812, 11683
2026/05/23 06:27:50.903, 4, 3, 20812, 11683
2026/05/23 06:27:50.903, 5, 3, 17406, 15089
2026/05/23 06:27:50.904, 6, 3, 17386, 15109
2026/05/23 06:27:50.904, 7, 0, 11620, 20875
2026/05/23 06:27:51.989, 0, 3, 21794, 10701
2026/05/23 06:27:51.989, 1, 3, 20812, 11683
2026/05/23 06:27:51.990, 2, 2, 20812, 11683
2026/05/23 06:27:51.990, 3, 3, 20812, 11683
2026/05/23 06:27:51.990, 4, 3, 20812, 11683
2026/05/23 06:27:51.991, 5, 3, 17406, 15089
2026/05/23 06:27:51.991, 6, 3, 17386, 15109
2026/05/23 06:27:51.991, 7, 0, 11620, 20875
2026/05/23 06:27:53.101, 0, 1, 21794, 10701
2026/05/23 06:27:53.102, 1, 3, 20812, 11683
2026/05/23 06:27:53.102, 2, 4, 20812, 11683
2026/05/23 06:27:53.102, 3, 19, 20812, 11683
2026/05/23 06:27:53.102, 4, 3, 20812, 11683
2026/05/23 06:27:53.103, 5, 3, 17406, 15089
2026/05/23 06:27:53.103, 6, 6, 17386, 15109
2026/05/23 06:27:53.103, 7, 0, 11620, 20875
2026/05/23 06:27:54.204, 0, 3, 21794, 10701
2026/05/23 06:27:54.205, 1, 4, 20812, 11683
2026/05/23 06:27:54.205, 2, 3, 20812, 11683
2026/05/23 06:27:54.205, 3, 3, 20812, 11683
2026/05/23 06:27:54.205, 4, 3, 20812, 11683
2026/05/23 06:27:54.206, 5, 3, 17406, 15089
2026/05/23 06:27:54.206, 6, 0, 17456, 15039
2026/05/23 06:27:54.206, 7, 0, 11620, 20875
2026/05/23 06:27:55.295, 0, 3, 21794, 10701
2026/05/23 06:27:55.296, 1, 4, 20812, 11683
2026/05/23 06:27:55.296, 2, 4, 20812, 11683
2026/05/23 06:27:55.296, 3, 4, 20812, 11683
2026/05/23 06:27:55.297, 4, 27, 20812, 11683
2026/05/23 06:27:55.297, 5, 4, 17406, 15089
2026/05/23 06:27:55.298, 6, 0, 17456, 15039
2026/05/23 06:27:55.298, 7, 0, 11620, 20875
2026/05/23 06:27:56.384, 0, 3, 21794, 10701
2026/05/23 06:27:56.384, 1, 3, 20812, 11683
2026/05/23 06:27:56.385, 2, 3, 20812, 11683
2026/05/23 06:27:56.385, 3, 3, 20812, 11683
2026/05/23 06:27:56.385, 4, 3, 20812, 11683
2026/05/23 06:27:56.385, 5, 3, 17406, 15089
2026/05/23 06:27:56.386, 6, 0, 17456, 15039
2026/05/23 06:27:56.386, 7, 0, 11620, 20875
2026/05/23 06:27:57.473, 0, 4, 21794, 10701
2026/05/23 06:27:57.473, 1, 3, 20812, 11683
2026/05/23 06:27:57.474, 2, 3, 20812, 11683
2026/05/23 06:27:57.474, 3, 3, 20890, 11605
2026/05/23 06:27:57.474, 4, 4, 20812, 11683
2026/05/23 06:27:57.474, 5, 4, 17406, 15089
2026/05/23 06:27:57.475, 6, 0, 17456, 15039
2026/05/23 06:27:57.475, 7, 0, 11620, 20875
2026/05/23 06:27:58.561, 0, 3, 21794, 10701
2026/05/23 06:27:58.561, 1, 4, 20812, 11683
2026/05/23 06:27:58.561, 2, 0, 20890, 11605
2026/05/23 06:27:58.562, 3, 0, 20890, 11605
2026/05/23 06:27:58.562, 4, 6, 20812, 11683
2026/05/23 06:27:58.562, 5, 4, 17406, 15089
2026/05/23 06:27:58.562, 6, 0, 17456, 15039
2026/05/23 06:27:58.563, 7, 0, 11620, 20875
2026/05/23 06:27:59.649, 0, 3, 21794, 10701
2026/05/23 06:27:59.649, 1, 4, 20812, 11683
2026/05/23 06:27:59.649, 2, 0, 20890, 11605
2026/05/23 06:27:59.650, 3, 0, 20890, 11605
2026/05/23 06:27:59.650, 4, 5, 20812, 11683
2026/05/23 06:27:59.650, 5, 4, 17406, 15089
2026/05/23 06:27:59.650, 6, 0, 17456, 15039
2026/05/23 06:27:59.651, 7, 0, 11620, 20875
2026/05/23 06:28:00.739, 0, 3, 21794, 10701
2026/05/23 06:28:00.739, 1, 4, 20812, 11683
2026/05/23 06:28:00.739, 2, 0, 20890, 11605
2026/05/23 06:28:00.740, 3, 0, 20890, 11605
2026/05/23 06:28:00.740, 4, 0, 20890, 11605
2026/05/23 06:28:00.740, 5, 4, 17406, 15089
2026/05/23 06:28:00.740, 6, 0, 17456, 15039
2026/05/23 06:28:00.741, 7, 0, 11620, 20875
2026/05/23 06:28:01.869, 0, 4, 21794, 10701
2026/05/23 06:28:01.869, 1, 4, 20812, 11683
