schema	s597_peer_copy_microbench.v1
bytes	dst	src	same_device	grid_blocks	block	burst_iters	burst_us_per_copy	burst_gbps	isolated_iters	isolated_us_per_copy	isolated_gbps
8192	0	0	1	8	256	200	2.142	3.824	50	4.767	1.718
8192	0	1	0	8	256	200	5.293	1.548	50	7.825	1.047
8192	0	2	0	8	256	200	5.210	1.572	50	8.025	1.021
8192	0	3	0	8	256	200	5.055	1.620	50	7.665	1.069
8192	0	4	0	8	256	200	5.060	1.619	50	7.638	1.073
8192	0	5	0	8	256	200	7.762	1.055	50	10.342	0.792
8192	0	6	0	8	256	200	7.659	1.070	50	10.323	0.794
8192	0	7	0	8	256	200	7.724	1.061	50	10.367	0.790
8192	1	0	0	8	256	200	5.163	1.587	50	7.822	1.047
8192	1	1	1	8	256	200	2.163	3.788	50	4.817	1.701
8192	1	2	0	8	256	200	5.078	1.613	50	7.622	1.075
8192	1	3	0	8	256	200	5.165	1.586	50	7.821	1.047
8192	1	4	0	8	256	200	7.724	1.061	50	10.396	0.788
8192	1	5	0	8	256	200	5.155	1.589	50	7.661	1.069
8192	1	6	0	8	256	200	7.668	1.068	50	10.368	0.790
8192	1	7	0	8	256	200	7.805	1.050	50	10.762	0.761
8192	2	0	0	8	256	200	5.211	1.572	50	7.780	1.053
8192	2	1	0	8	256	200	4.953	1.654	50	7.635	1.073
8192	2	2	1	8	256	200	2.056	3.984	50	4.742	1.728
8192	2	3	0	8	256	200	5.046	1.623	50	7.633	1.073
8192	2	4	0	8	256	200	7.593	1.079	50	10.252	0.799
8192	2	5	0	8	256	200	7.650	1.071	50	10.458	0.783
8192	2	6	0	8	256	200	5.230	1.566	50	7.754	1.057
8192	2	7	0	8	256	200	7.849	1.044	50	11.674	0.702
8192	3	0	0	8	256	200	5.542	1.478	50	7.903	1.037
8192	3	1	0	8	256	200	5.218	1.570	50	7.758	1.056
8192	3	2	0	8	256	200	4.992	1.641	50	7.578	1.081
8192	3	3	1	8	256	200	2.027	4.042	50	4.911	1.668
8192	3	4	0	8	256	200	7.683	1.066	50	10.609	0.772
8192	3	5	0	8	256	200	7.714	1.062	50	10.263	0.798
8192	3	6	0	8	256	200	7.762	1.055	50	10.469	0.782
8192	3	7	0	8	256	200	5.199	1.576	50	7.756	1.056
8192	4	0	0	8	256	200	5.095	1.608	50	7.959	1.029
8192	4	1	0	8	256	200	7.818	1.048	50	10.524	0.778
8192	4	2	0	8	256	200	7.826	1.047	50	10.595	0.773
8192	4	3	0	8	256	200	7.913	1.035	50	10.653	0.769
8192	4	4	1	8	256	200	2.078	3.941	50	4.833	1.695
8192	4	5	0	8	256	200	5.299	1.546	50	7.850	1.044
8192	4	6	0	8	256	200	5.292	1.548	50	7.885	1.039
8192	4	7	0	8	256	200	5.048	1.623	50	8.017	1.022
8192	5	0	0	8	256	200	7.934	1.033	50	10.655	0.769
8192	5	1	0	8	256	200	5.180	1.582	50	8.033	1.020
8192	5	2	0	8	256	200	7.995	1.025	50	10.648	0.769
8192	5	3	0	8	256	200	7.827	1.047	50	10.582	0.774
8192	5	4	0	8	256	200	5.382	1.522	50	7.954	1.030
8192	5	5	1	8	256	200	2.138	3.831	50	5.210	1.572
8192	5	6	0	8	256	200	5.105	1.605	50	7.805	1.050
8192	5	7	0	8	256	200	5.328	1.538	50	7.962	1.029
8192	6	0	0	8	256	200	7.774	1.054	50	10.785	0.760
8192	6	1	0	8	256	200	7.857	1.043	50	10.590	0.774
8192	6	2	0	8	256	200	5.257	1.558	50	8.115	1.009
8192	6	3	0	8	256	200	7.674	1.068	50	10.568	0.775
8192	6	4	0	8	256	200	5.230	1.566	50	7.902	1.037
