== NVLink adjacency (per GPU) ==
GPU0: 1(NV1), 2(NV1), 3(NV2), 4(NV2)
GPU1: 0(NV1), 2(NV2), 3(NV1), 5(NV2)
GPU2: 0(NV1), 1(NV2), 3(NV2), 6(NV1)
GPU3: 0(NV2), 1(NV1), 2(NV2), 7(NV1)
GPU4: 0(NV2), 5(NV1), 6(NV1), 7(NV2)
GPU5: 1(NV2), 4(NV1), 6(NV2), 7(NV1)
GPU6: 2(NV1), 4(NV1), 5(NV2), 7(NV2)
GPU7: 3(NV1), 4(NV2), 5(NV1), 6(NV2)

== Non-NVLink undirected pairs (12 of 28) ==
(0,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 4(NV2+NV1)
(0,6) [SYS]: one-hop NVLink relays via 2(NV1+NV1), 4(NV2+NV1)
(0,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 4(NV2+NV2)
(1,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 5(NV2+NV1)
(1,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 5(NV2+NV2)
(1,7) [SYS]: one-hop NVLink relays via 3(NV1+NV1), 5(NV2+NV1)
(2,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 6(NV1+NV1)
(2,5) [SYS]: one-hop NVLink relays via 1(NV2+NV2), 6(NV1+NV2)
(2,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 6(NV1+NV2)
(3,4) [SYS]: one-hop NVLink relays via 0(NV2+NV2), 7(NV1+NV2)
(3,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 7(NV1+NV1)
(3,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 7(NV1+NV2)

== Per-pair microbench (dst-side UVA remote load) ==

-- payload 8 KiB --
dst	src	class	burst_us	burst_GBps	iso_us	iso_GBps
1	4	SYS	46.61	8.44	49.35	7.97
1	5	NV2	13.54	29.03	16.16	24.34
1	6	SYS	46.86	8.39	49.69	7.91
1	7	SYS	46.73	8.41	49.28	7.98
2	0	NV1	22.11	17.78	24.68	15.93
2	1	NV2	13.53	29.07	16.13	24.38
2	2	self	2.75	142.91	5.43	72.47
2	3	NV2	13.53	29.07	16.13	24.38
2	4	SYS	45.73	8.60	48.44	8.12
2	5	SYS	45.94	8.56	48.42	8.12
2	6	NV1	22.11	17.78	24.94	15.77
2	7	SYS	46.59	8.44	49.43	7.96
3	0	NV2	13.41	29.33	16.14	24.36
3	1	NV1	22.07	17.82	25.00	15.73
3	2	NV2	13.40	29.33	16.22	24.25
3	3	self	2.75	142.80	5.40	72.76
3	4	SYS	45.65	8.61	48.31	8.14
3	5	SYS	45.76	8.59	48.27	8.15
3	6	SYS	46.60	8.44	49.64	7.92
3	7	NV1	22.06	17.82	24.71	15.91
4	0	NV2	13.51	29.11	16.30	24.13
4	1	SYS	45.86	8.57	48.53	8.10
4	2	SYS	48.64	8.08	51.44	7.64
4	3	SYS	48.68	8.08	51.60	7.62
4	4	self	2.79	141.00	5.53	71.07
4	5	NV1	22.16	17.74	24.87	15.81
4	6	NV1	22.16	17.74	24.86	15.82
4	7	NV2	13.50	29.12	16.29	24.14
5	0	SYS	46.04	8.54	48.62	8.09
5	1	NV2	13.67	28.77	16.37	24.02
5	2	SYS	48.64	8.08	51.40	7.65
5	3	SYS	48.94	8.03	51.56	7.63
5	4	NV1	22.24	17.68	24.90	15.79
5	5	self	2.87	136.90	5.64	69.68
5	6	NV2	13.68	28.74	16.31	24.11
5	7	NV1	22.25	17.68	24.91	15.79
6	0	SYS	45.86	8.57	48.95	8.03
6	1	SYS	45.97	8.55	48.76	8.06
6	2	NV1	22.06	17.82	24.88	15.80
6	3	SYS	48.55	8.10	51.36	7.66
